Length,Time,Vehicle,Driver,Date,Notes
"20,600 m",7:05.41,"Porsche 911 GT3 RS (991.2, facelift, 2018, N/A 4.0, 520 PS)",Christian Gebhardt,2018-04-18,"Sport Auto (09/2018), OEM deletion of audio and communication system, Porsche Motorsport bucket seat and harness on driver's side."
"20,600 m",7:06.60,Mercedes-AMG GT R Pro,Christian Gebhardt,2019-05-22,"Sport Auto (08/2019), Michelin Pilot Sport Cup 2 ZP."
"20,832 m",7:07.55,Porsche Taycan Turbo GT,Lars Kern,2024-01-02,Porsche conducted test. Weissach package.
"20,600 m",7:07.99,"Lamborghini Huracán Performante LP640-4 (2018, N/A 5.2, 640 PS)",Christian Gebhardt,2018-11-09,"Sport Auto (12/2018), Pirelli P Zero Trofeo R."
"20,600 m",7:08.34,McLaren 720S,Christian Gebhardt,2018-06-28,"Sport Auto (02/2019), Pirelli P Zero Corsa."
"20,600 m",7:08.82,McLaren 600LT,Christian Gebhardt,2019-06-06,"Sport Auto (09/2019), Pirelli P Zero Trofeo R MC."
"20,832 m",7:09.300,Porsche Cayman GT4 RS (982),Jörg Bergmeister,2021-09-17,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 R, OEM deletion of audio and communication system, bucket seat and harness on driver's side. 7:04.511 on the 20,600 m lap."
"20,600 m",7:10.52,C8 Corvette Z06 (2024),Christian Gebhardt,2024-12-11,"Tested in Sport Auto (11/2024), Michelin Pilot Sport Cup 2 R."
"20,600 m",7:10.92,Mercedes-AMG GT R (2017),Christian Gebhardt,2016-11-04,"Observed in Sport Auto (01/2017), tested in Sport Auto (05/2017), Michelin Pilot Sport Cup 2 'ZP'."
,7:11.57,Gumpert Apollo Sport,Florian Gruber,2009-08-13,"Observed by Sport Auto, Michelin Pilot Sport Cup."
"20,832 m",7:11.826,Chevrolet Corvette Z06 (2025),Aaron Link,2025-06,"General Motors conducted test, Carbon Fiber wheels with Michelin Cup 2R summer-only tires.Officially classified as Prototype/Pre-Production due to US production specification used"
,7:12.13,Dodge Viper ACR (2010),Dominik Farnbacher,2011-09-14,"SRT, Viper Club of America and ViperExchange conducted test. Michelin Pilot Sport Cup."
"20,600 m",7:12.69,Porsche Carrera GT (980),Jörg Bergmeister,2024-12-12,sport auto (12/12)
,7:12.7,Porsche 911 GT3 (991.2),Lars Kern,2017-05-04,"Porsche conducted test. Michelin Pilot Sport Cup 2, PDK, carbon ceramic brakes, OEM deletion of audio and communication system, ""Clubsport Package"", Porsche Motorsport bucket seat and harness on driver's side."
"20,600 m",7:13,Porsche 918 Spyder,Horst von Saurma,2014-06,"Sport Auto (06/2014), Michelin Pilot Sport Cup 2."
,7:13.497,"BMW M4 CSL (G82, 2023, 3.0 TT, 550 PS)",Jörg Weidinger [de],2023-09-01,"BMW conducted test, updated second chance lap record for BMW M4 CSL. 7:18.137 on 20.832 m configuration of track. Michelin Pilot Sport Cup 2 R."
"20,600 m",7:13.90,Chevrolet Corvette Z06 (C7),Christian Gebhardt,2017-04-24,"Sport Auto (08/2017), Michelin Pilot Sport Cup 2 'ZP', manual."
,7:14.64,Lexus LFA Nürburgring Package,Akira Iida,2011-08-31,"Lexus conducted test. OEM ""Nürburgring Package"", Bridgestone Potenza RE070, additional roll cage."
,7:14.89,Donkervoort D8 RS,Michael Düchting,2006,"Observed by Sport Auto, Dunlop Sportmaxx."
,7:15,Lamborghini Aventador SuperVeloce LP750-4 (2015),Horst von Saurma,2015-02,"Autozeitung Sport & Luxury Cars (04/2015), Pirelli P Zero Corsa."
,7:15.677,"BMW M4 CSL (G82, 2022)",Jörg Weidinger [de],2022-04-12,"Fastest lap time ever for a series-produced BMW car. 7:20.207 on the 20,832 m lap."
,7:16.04,Chevrolet Camaro ZL1 1LE (2018),Bill Wise,2017,"General Motors conducted test, OEM Goodyear Eagle F1 Supercar 3R."
"20,600 m",7:16.15,"Porsche Cayman GT4 RS (718, 2022, N/A 4.0, 500 PS)",Christian Gebhardt,2022-05-09,"Sport Auto (06/2022), Michelin Pilot Sport Cup 2 R."
"20,600 m",7:17.08,"BMW M4 CSL (G82, 2022)",Christian Gebhardt,2022-10-12,"Sport Auto (04/2023), Michelin Pilot Sport Cup 2 R."
"20,600 m",7:17.11,"Porsche 911 Turbo S (991.2, facelift, 2018, 3.8 TT, 580 PS)",Christian Gebhardt,2017-08-24,"Sport Auto (03/2018), Pirelli P Zero Corsa 'N1', OEM 'Aerokit'."
,7:17.215,"BMW M4 CS (G82, 2024, 3.0 TT, 550 PS)",Jörg Weidinger [de],2024-05-08,"BMW conducted test, 7:21.989 on 20.832 m configuration of track. Michelin Pilot Sport Cup 2R."
"20,600 m",7:17.3,"Porsche 911 Turbo S (992.1, pre-facelift, 2021, 3.7 TT, 650 PS)",Christian Gebhardt,2021-01-30,"Sport Auto (02/2021), Pirelli P Zero 'NA1'."
,7:18,Porsche 911 GT2 RS (997.2),Timo Glock,2010,"Porsche conducted test, Michelin Pilot Sport Cup 'N2'."
"20,600 m",7:18,"Porsche 911 GT3 (991.2, facelift, 2017, N/A 4.0, 500 PS)",Christian Gebhardt,2017-04-28,"Sport Auto (7/2017), Michelin Pilot Sport Cup 2 'N1', PDK, bucket seat and harness."
,7:18.1,Donkervoort D8 RS,Michael Düchting,2004-10-24,Observed by Sport Auto.
,7:19.1,Nissan GT-R (2013),,2012,Nissan conducted test.
,7:19.63,Chevrolet Corvette C6 ZR1 (2012),Jim Mero,2011-06-09,"General Motors conducted test. Base car, OEM Michelin Pilot Sport Cup ZP option."
,7:20.890,BMW M2 CS,Jörg Weidinger [de],2025-04-11,"Official Nürburgring record attempt by BMW. Timing and vehicle condition verified by a notary, 7:25.534 on 20.832 m configuration of track. Lap record for compact cars. Pirelli P Zero Trofeo RS."
,7:21,Ferrari 488 GTB,Horst von Saurma,2016-08,"Autozeitung Sport & Luxury Cars (19/2016), Michelin Pilot Sport Cup 2 K1."
"20,600 m",7:21.63,Ferrari 488 GTB,Christian Gebhardt,2016-11,"Sport Auto (12/2016), Michelin Pilot Sport Cup 2."
,7:22.1,Dodge Viper ACR (2009),Tom Coronel,2008-08-18,Chrysler and Motor Trend conducted test. Michelin Pilot Sport Cup.
,7:22.68,Chevrolet Corvette C6 Z06 (2012),Jim Mero,2011-06-23,"General Motors conducted test. Z07 package, OEM Michelin Pilot Sport Cup ZP option."
,7:23.009,"Mercedes-AMG GT 63 S 4MATIC+ (X290, 2021)",Demian Schaffert,2020-11-10,"Mercedes-Benz conducted test, Michelin Pilot Sport Cup 2 tires and AMG Aerodynamics Package. Timed by wige Solutions. 7:27.800 on the 20,832 m lap."
"20,832 m",7:23.164,Jaguar XE SV Project 8 (2018),Vincent Radermecker,2019-07,"Jaguar conducted test, Michelin Pilot Sport Cup 2 R tyres, two-seat Track Package."
"20,600 m",7:23.77,Porsche 911 Carrera GTS (991.2),Christian Gebhardt,2017-05,"Sport Auto (06/2017), optional OEM Pirelli P Zero Corsa N0, PDK, rear seats."
,7:23.975,"BMW M3 CS (G80, 2023, 3.0 TT, 550 PS)",Jörg Weidinger [de],2023-08-31,"BMW conducted test, 7:28.760 on 20.832 m configuration of track. Michelin Pilot Sport Cup 2."
"20,600 m",7:24,Gumpert Apollo Sport,Horst von Saurma,2010-11,"Sport Auto (11/2009), Michelin Pilot Sport Cup."
"20,600 m",7:24,Porsche 911 GT2 RS (997.2),Horst von Saurma,2010,"Sport Auto (11/2010), Michelin Pilot Sport Cup."
"20,832 m",7:24.172,"Porsche Panamera Turbo S E-Hybrid (976, 2024)",Lars Kern,2024-07-12,Porsche Conducted Test. Michelin Pilot Sport Cup 2 tires.
,7:24.22,Nissan GT-R (2011),Toshio Suzuki,2010-10-01,Nissan conducted test. Video confirmed. Done on semi-wet (damp) condition. Best Motoring (12/2010).[citation needed]
,7:24.29,Maserati MC12,Marc Basseng,2008-08,"Evo Magazine conducted test, Evo Magazine, #123 (11/2008)."
,7:24.44,Pagani Zonda F Clubsport,Marc Basseng,2008-08,"Evo Magazine conducted test, Evo Magazine, #123 (11/2008)."
"20,600 m",7:25,Lamborghini Aventador LP700-4,Horst von Saurma,2012,"Sport Auto (08/2012), Pirelli P Zero Corsa."
,7:25.21,Ferrari Enzo,Marc Basseng,2008-08,"Evo Magazine conducted test, Evo Magazine, #123 (11/2008)."
,7:25.41,"Mercedes-AMG GT 63 S 4MATIC+ (X290, 2018)",Demian Schaffert,2018-10-15,"Mercedes-AMG conducted test. 7:30.11 on the 20,832 m lap."
,7:25.67,Mercedes-Benz SLS AMG Black Series,Markus Hofbauer,2013-08,Mercedes-AMG conducted test.
,7:25.72,KTM X-Bow RR,Christopher Haase,2012,"KTM conducted test, Michelin Pilot Sport Cup."
,7:26.4,Chevrolet Corvette C6 ZR1 (2009),Jim Mero,2008-06-27,"General Motors conducted test, Michelin Pilot Sport 2."
,7:26.70,Nissan GT-R (2009),Toshio Suzuki,2009-04-23,"Nissan Motors conducted test, optional tyres. Best Motoring (08/2009)."
"20,600 m",7:27.48,Ferrari 812 Superfast,Christian Gebhardt,2018-06-20,"Sport Auto (03/2019), Pirelli P Zero Corsa."
,7:27.82,Pagani Zonda F Clubsport (2005),Marc Basseng,2007-09,Pagani conducted test.
,7:27.88,"BMW M4 GTS (F82, 2015)",Jörg Weidinger [de],2015-09,Michelin Pilot Sport Cup 2.
"20,600 m",7:28,"Porsche 911 GT3 RS (991.1, pre-facelift, 2015, N/A 4.0, 500 PS)",Christian Gebhardt,2015,"Sport Auto (08/2015), Michelin Pilot Sport Cup 2."
,7:28.0,Porsche Carrera GT (980),Walter Röhrl,2004-07-02,Auto Bild (07/04)
"20,600 m",7:28.0,McLaren MP4-12C,Horst von Saurma,2011,"Sport Auto (11/2011), Pirelli P Zero Corsa."
"20,600 m",7:28.0,Lamborghini Huracán LP610-4,Christian Gebhardt,2016-07,"Sport Auto (08/2016), Pirelli P Zero Trofeo R."
"20,600 m",7:28.02,"Mercedes-AMG GT 63 S E-Performance (X290, pre-facelift, 2022, 4.0 TT + 1E-motor, 843 PS)",Christian Gebhardt,2022-09,"Sport Auto (09/2022),  Michelin Pilot Sport Cup 2 MO1."
"20,600 m",7:28.57,"BMW M4 Competition xDrive (G82, 2022, 3.0 TT, 510 PS)",Christian Gebhardt,2021-09-22,"Sport Auto (05/2022), Michelin Pilot Sport Cup 2."
,7:28.71,Porsche Carrera GT (980),Marc Basseng,2008-08,"Evo Magazine conducted test, Evo Magazine, #123 (11/2008)."
,7:29.03,Nissan GT-R (2009),Toshio Suzuki,2008-04-17,Nissan Motors conducted test.
"20,600 m",7:29.57,"BMW M5 CS (F90, 2021)",Christian Gebhardt,2021-06-02,"Sport Auto (07/2021), Pirelli P Zero Corsa."
,7:29.60,Chevrolet Camaro ZL1 (2017),Drew Cattell,2016-10-24,Goodyear Eagle F1.
"20,832 m",7:29.81,"Porsche Panamera Turbo S (971.2, 2020)",Lars Kern,2020-07-24,Porsche Conducted Test. Michelin Pilot Sport Cup 2 tires. Lap record for a production executive car.
,7:29.90,Chevrolet Corvette (C8) (2020),Oliver Gavin,2019-07,General Motors conducted test. Z51 performance package
,7:30.0,Mercedes-Benz SLS AMG GT (2012),,2012,"According to AMG chairman Ola Källenius, as reported by Auto Blog. No video or press release."
"20,600 m",7:30,"Porsche 911 GT3 RS 4.0 (997.2, facelift, 2011, N/A 4.0, 500 PS)",Horst von Saurma,2011,"Sport Auto (08/2011), Michelin Pilot Sport Cup N1."
"20,600 m",7:30.41,Porsche 911 Carrera S (992),Christian Gebhardt,2019,"Sport Auto (10/2019), Pirelli P Zero NA1, Porsche Motorsport bucket seat and harness on driver's side."
"20,600 m",7:30.79,"BMW M4 Competition (G82, 2021, 3.0 TT, 510 PS)",Christian Gebhardt,2021-04-15,"Sport Auto (09/2021), Michelin Pilot Sport Cup 2."
,7:31,"Porsche 911 GT2 (997, 2007)",Walter Röhrl,2007,Porsche conducted test.
"20,600 m",7:32,"Porsche 911 GT3 (991.1, pre-facelift, 2013, N/A 3.8, 475 PS)",Horst von Saurma,2013-11,"Sport Auto (11/2013), Michelin Pilot Sport Cup 2, PDK automatic."
,7:32,Alfa Romeo Giulia Quadrifoglio (2015),Fabio Francia,2016-09,Alfa Romeo Giulia Quadrifoglio with automatic transmission
"20,600 m",7:32,"Audi R8 V10 Plus (4S, 2015)",Christian Gebhardt,2015,"Sport Auto (10/2015), Michelin Pilot Sport Cup 2."
"20,600 m",7:32,"Porsche Cayman GT4 (718, 2020, N/A 4.0, 420 PS)",Christian Gebhardt,2020,"Sport Auto (05/2020), Michelin Pilot Sport Cup 2 N1."
"20,600 m",7:32.40,Porsche Carrera GT (980),Horst von Saurma,2003,"Sport Auto (01/2004), Michelin Pilot Sport. Wet patches on the track."
"20,600 m",7:32.79,"BMW M8 Coupe Competition (F92, 2020, 625 PS)",Christian Gebhardt,2020-06-09,"Sport Auto (07/2020), Pirelli P Zero."
"20,832 m",7:32.92,"Ferrari 458 Italia (570 PS, 2010)",Sascha Bert,2010-10,"Auto Bild Sportscars (11/2010), Michelin Pilot Sport PS2 K1."
"20,600 m",7:33,"Ferrari F12 Berlinetta (740 PS, 2014)",Horst von Saurma,2014-09,"Sport Auto (09/2014), Michelin Pilot Sport Cup 2."
"20,600 m",7:33,Pagani Zonda F,Horst von Saurma,2006,"Sport Auto (05/2006), Michelin Pilot Sport 2 N0/1."
"20,600 m",7:33,"Porsche 911 GT3 RS (997.2, 2010)",Horst von Saurma,2010,"Sport Auto (05/2010), PCCB"
"20,600 m",7:33,"Porsche 911 GT2 (997.1, pre-facelift, 2007, 3.6 TT, 530 PS)",Horst von Saurma,2007,"Sport Auto (11/2007), Michelin Pilot Sport Cup."
"20,832 m",7:33.35,Porsche Taycan Turbo S (2023),Lars Kern,2022-04-11,Porsche conducted test. Equipped with Tequipment performance kit and PDCC. Pirelli P Zero Corsa tyres. Added roll cage and racing seats.
,7:33.55,Koenigsegg CCX,Marc Basseng,2008-08,"Evo Magazine conducted test, Evo Magazine, #123 (11/2008)."
"20,600 m",7:33.67,Porsche 911 Carrera S (991.2),Christian Gebhardt,2016-05,"Sport Auto (06/2016), Pirelli P Zero N1."
,7:33.906,"BMW M2 (G87, 2023, 3.0 TT, 460 PS)",Jörg Weidinger [de],2023-08-30,"BMW conducted test, 7:38.706 on 20.832 m configuration of track. Michelin Pilot Sport Cup 2."
,7:33.95,"Porsche Cayenne Turbo GT (Mk3, PO536 / 9YA, pre-facelift, 2021, 4.0 TT, 640 PS)",Lars Kern,2021-06-14,"Official Nürburgring record attempt by Porsche. Timing and vehicle condition verified by a notary. Pirelli P Zero Corsa. Set a SUV record. 7:38.925 on the 20,832 m lap."
"20,600 m",7:34,"Audi R8 GT (Mk1, Typ 42, 2010)",Horst von Saurma,2010-12,"Sport Auto (12/2010), Pirelli P Zero Corsa R02."
"20,600 m",7:34,Koenigsegg CCR,Horst von Saurma,2005-10-17,"Sport Auto (03/2006), Michelin Pilot Sport N0."
"20,600 m",7:34,Nissan GT-R (2011),Horst von Saurma,2010-10,"Sport Auto (11/2010), Dunlop SP Sport Maxx GT 600 DSST."
"20,600 m",7:34,Lexus LFA Nürburgring Package,Horst von Saurma,2012-02,"Sport Auto (02/2012), Bridgestone Potenza RE070."
"20,600 m",7:34,"Porsche 911 Turbo S (991.1, pre-facelift, 2014, 3.8 TT, 560 PS)",Horst von Saurma,2014-02,"Sport Auto (02/2014), Dunlop SportMaxx Race."
"20,600 m",7:34.39,"BMW M3 Competition Touring (G81, 2023, 3.0 TT, 510 PS)",Christian Gebhardt,2023-10-19,"Sport Auto (11/2023), Michelin Pilot Sport Cup 2*."
,7:34.46,Nissan GT-R Spec-V,,2009,Best Motoring - Time Attack.
"20,832 m",7:34.92,Porsche 911 GT3 RS 4.0 (997),Sascha Bert,2011-09,Auto Bild Sportscars (09/2011)
"20,600 m",7:35,McLaren 650S Spider,Horst von Saurma,2015,"Sport Auto (03/2015), Pirelli P Zero Corsa."
,7:35,"Mercedes-AMG GT S (pre-facelift, 2015, 510 PS)",Horst von Saurma,2015,"Autozeitung Sport & Luxury Cars (01/2015), Michelin Pilot Sport Cup 2."
"20,600 m",7:35,Mercedes-Benz SLS AMG Black Series,Horst von Saurma,2013,"Sport Auto (12/2013), Michelin Pilot Sport Cup 2."
"20,600 m",7:35,Ruf Rt 12,Horst von Saurma,2008,"Sport Auto (02/2008), Michelin Pilot Sport Cup."
"20,832 m",7:35:060,BMW M3 Touring,Jörg Weidinger [de],2022-05-12,Record for the fastest lap for a wagon.Official Nürburgring record attempt by BMW.
,7:35.522,"Audi RS3 (Typ 8Y, 2021, 2.5 T, 400 PS)",Frank Stippler,2021-06-14,"Official Nürburgring record attempt by Audi. Timing and vehicle condition verified by a notary. Pirelli P Zero Trofeo R. 7:40.748 on the 20,832 m lap. Lap record for compact cars."
"20,832 m",7:35.579,Tesla Model S Plaid,Andreas Simonsen,2021-09-09,"Michelin 295/30ZR21. 7:30.909 on the 20,600 m lap."
"20,600 m",7:35.90,"BMW M5 Competition (F90, 2019, 625 PS)",Christian Gebhardt,2019-04-17,"Sport Auto (07/2019), Pirelli P Zero."
"20,600 m",7:36,"Honda NSX (NC1, 2016)",Christian Gebhardt,2017-03,"Sport Auto (02/2017), Pirelli P Zero Trofeo R."
"20,600 m",7:36,"Mercedes-AMG GT S (pre-facelift, 2016, 510 PS)",Christian Gebhardt,2016,"Sport Auto (11/2016), Michelin Pilot Sport Cup 2."
"20,600 m",7:36,Nissan GT-R (R35),Horst von Saurma,2011,"Sport Auto (05/2011), Dunlop SP Sport Maxx GT 600 DSST."
"20,600 m",7:37,"BMW M4 GTS (F82, 2016)",Christian Gebhardt,2016-10,"Sport Auto (09/2016), Michelin Pilot Sport Cup 2."
,7:37.4,Chevrolet Camaro Z/28 (2014),Adam Dean,2013-10,"General Motors conducted test, Pirelli P Zero Trofeo R."
"20,600 m",7:37.66,"Audi RS3 (Typ 8Y, 2022, 2.5 T, 400 PS)",Christian Gebhardt,2022,"Sport Auto (08/2022), Pirelli P Zero Trofeo R Audi AO."
,7:37.9,"Porsche 911 Carrera S (991.1, pre-facelift, 2012, N/A 3.8, 400 PS)",Timo Glock,2012-08-28,"Porsche conducted test, PDK transmission."
"20,600 m",7:38,Ferrari 458 Italia,Horst von Saurma,2010,"Sport Auto (08/2010), Michelin Pilot Sport PS2."
"20,600 m",7:38,Lexus LFA,Horst von Saurma,2010-09,"Sport Auto (09/2010), Bridgestone Potenza S001."
,7:38,"Porsche 911 Turbo (997.1, pre-facelift, 2008, 3.6 TT, 480 PS)",,2008-09,Porsche conducted test.
"20,600 m",7:38,Chevrolet Corvette C6 ZR1,Horst von Saurma,2009-10,"Sport Auto conducted test, Michelin Pilot Sport ZP run-flat."
"20,600 m",7:38,Nissan GT-R,Horst von Saurma,2009,"Sport Auto (07/2009), Dunlop SP Sport 600 DSST run flat."
"20,600 m",7:38,Lamborghini Gallardo Superleggera LP570-4,Horst von Saurma,2011,"Sport Auto (04/2011), Pirelli P Zero Corsa."
,7:38,"Porsche Panamera Turbo (971, 2017, 4.0 TT, 550 PS)",,2016,Car equipped with roll cage. Confirmed by Road & Track
"20,832 m",7:38.85,Lexus LFA,Sascha Bert,2010-11,"Auto Bild Sportscars (11/2010), supercomparo (LFA vs 458 vs SLS AMG vs GT-R vs LP570-4 vs Weismann GT) test conducted on the long 20.8 km configuration of Nurburgring, Bridgestone EM 98 (11/2010)."
"20,600 m",7:38.92,BMW M5 (F90),Christian Gebhardt,2018-04-12,"Sport Auto (06/2018), Pirelli P Zero."
"20,600 m",7:39,Ferrari F430 Scuderia,Horst von Saurma,2008,"Sport Auto (07/2008), Pirelli P Zero Corsa."
"20,600 m",7:39.35,Audi RS4 Avant Competition Plus (B9),Christian Gebhardt,2023-07-12,"Sport Auto (08/2023), Pirelli P Zero Corsa AO."
"20,600 m",7:39.40,"Porsche 911 Dakar (992, 2023, 3.0 TT, 480 PS)",Christian Gebhardt,2023-08-14,"Sport Auto (09/2023), Pirelli Scorpion All Terrain. Shortened 3 off-road turns."
"20,832 m",7:39.49,"Porsche Carrera GT (2006, 612 PS)",Walter Röhrl,2006-03,"Auto Bild Sportscars (03/2006), 6-speed manual transmission."
,7:39.691,Honda Civic Type R S grade (FL5 available in select European countries),Néstor Girolami,2023-03-24,"Honda conducted test, non-factory optioned aftermarket Michelin Pilot Sport Cup 2 Connect. Current FWD car record holder. 7:44.881 on the 20,832 m lap."
"20,832 m",7:40,Bugatti Veyron 16.4,,2005,Wheels Magazine Australia 2005
,7:40,Lamborghini Murciélago LP640,Giorgio Sanna,2007,"Official Lamborghini lap time according to Auto Bild Sportscars (01/2007), Pirelli P Zero Corsa."
,7:40,Mercedes-Benz SLR McLaren,Klaus Ludwig,2004,Auto Bild (07/2004)
"20,600 m",7:40,Porsche 911 GT3 (997.2),Horst von Saurma,2009,"Sport Auto (06/2009), Michelin Pilot Sport Cup."
"20,600 m",7:40,Mercedes-Benz SLS AMG,Horst von Saurma,2010,"Sport Auto (05/2010), Continental ContiSportContact 5."
