Length,Time,Make Model,Power/Weight,Driver,Date,Notes
"20,832 m",7:20.143,Lynk & Co 03 Cyan Concept,"528 hp (394 kW) / 1,287 kg (2,837 lb)",Thed Björk,2019-08-19,Michelin Pilot Sport Cup 2 285/30R20.
"20,832 m",7:22:00,Mygale M12-SJ-Ford Ecoboost,"205 PS (151 kW; 202 hp) / 465 kg (1,025 lb)",Nick Tandy,2012-09-04,"Technical info of chassis. Car is a series produced Formula Ford racer converted for road use that including the addition of registration plates, wheel covers, front and rear lights, revised wing mirrors and a horn. The car was driven on road-legal tyres. Ford conducted test."
"20,832 m",7:22.329,Toyota TMG EV P002,469 hp (350 kW),Jochen Krumbach,2012-10-02,Toyota Motorsport GmbH conducted test.
"20,600 m",7:22:80,BMW M3 CSL (E46) by Loaded,"540 PS (397 kW; 533 hp) / 1,385 kg (3,053 lb)",Richard Göransson,2007-11-11,Time was set on a non-exclusive public track day with other cars present. Car has been modified by Loaded to include a custom supercharger that puts out 180 PS (132 kW; 178 hp) more than the stock car's 360 PS (265 kW; 355 hp) 3.2L inline 6 BMW S54 engine. Car is road legal outside of North America.
"20,832 m",7:25.231,Tesla Model S Plaid Track Package,,Tom Schwister,2023-06-02,Official lap time in the modified electric vehicles category. Tesla Model S Plaid with OEM Track Pack.
"20,600 m",7:29.5,BMW M5 (F90) by AC Schnitzer,700 bhp (522 kW; 710 PS),Jörg Müller,2018-08-22,
,7:43.8,Honda Civic Type R (FK8),,,2017-04,"Honda conducted test, full ""floating"" roll cage, removed infotainment and rear seats. FWD car record (before Renault Mégane R.S. Trophy-R)"
,7:47.794,TMG EV P001,380 bhp (283 kW; 385 PS),Jochen Krumbach,2011-08,
,7:46,Jaguar XJ220 Prototype,,John Nielsen,1991,Car wasn't road legal. A manual stopwatch in a promotional video by Jaguar was shown displaying this time. Not independently verified.
"20,832 m",7:49,Toyota Supra,606 bhp (452 kW; 614 PS),Herbert Schürg,1997,"Refer to link for modification details. Modified by Japanese automotive accessory company Blitz, it was claimed to be capable of 750 PS (552 kW; 740 hp) but ran on 606 bhp (452 kW; 614 PS) when time was recorded."
"20,832 m",7:50,BMW X5 (E53) LM,"700 bhp (522 kW; 710 PS), 531 lb⋅ft (720 N⋅m)",Hans-Joachim Stuck,2000,Evo (08/2005). BMW M70 S70B56 engine from a V12 LMR.
"20,600 m",7:50.63,Honda Civic Type R Prototype,,,2014-05,"Honda conducted test, development car with technical specifications representative of the final production car. Air conditioning, front passenger seat and audio equipment removed, full roll cage added. FWD car record, video confirmed."
"20,832 m",7:55,Subaru Impreza WRX STi Sedan (2011) Prototype,320 bhp (239 kW; 324 PS),Tommi Mäkinen,2010-04-16,Subaru conducted test. MY2011 prototype with non-production upgrades and modifications. Subaru EJ207 engine from a 2010 JDM Subaru Impreza WRX STi R205 with larger turbo. Video confirmed.
"20,600 m",8:01.72,Nissan Skyline GT-R R33,,Motoharu Kurosawa,1995,"Best Motoring - Video Special DVD Series, Prototype (weight/horsepower different from production car)"
"20,832 m",8:15,BMW Z4 M Coupe Prototype,252 kW (343 PS; 338 hp),,2006,"Evo (07/2006). ""The steering rate is higher, too, while spring, damper and roll bars are all tuned specifically for the Coupe, much of the development work, predictably, having been conducted at the Nürburgring-Nordschleife. Equally predictably, we can't resist asking what its lap time is and Richter (Gerhard Richter, director of M GmbH) reveals that it's 8min 15sec but adds that the time was set with a development car rather than the final, optimum, production-ready car. Surprisingly, that's only three seconds faster than the M Roadster..."""
"20,832 m",8:18,BMW Z4 M Roadster Prototype,252 kW (343 PS; 338 hp),,2006,"Evo (07/2006). ""The steering rate is higher, too, while spring, damper and roll bars are all tuned specifically for the Coupe, much of the development work, predictably, having been conducted at the Nürburgring-Nordschleife. Equally predictably, we can't resist asking what its lap time is and Richter (Gerhard Richter, director of M GmbH) reveals that it's 8min 15sec but adds that the time was set with a development car rather than the final, optimum, production-ready car. Surprisingly, that's only three seconds faster than the M Roadster..."""
"20,600 m",8:19.8,BMW i8 by AC Schnitzer,"170 kW (231 PS; 228 hp) + 96 kW (131 PS; 129 hp) / 1,560 kg (3,440 lb)",Markus Oestreich,2017,"Bodykit with wing, 21"" wheels, wider tyres, lowered suspension."
"20,832 m",8:42.72,Electric Raceabout,"300 kW (402 hp) / 1,720 kg (3,790 lb) Dry",Ralf Kelleners,2011-09,Electric RaceAbout of Finland is road legal and registered prototype battery electric vehicle. Test was run by Helsinki Metropolia University of Applied Sciences using Nokian Z G2 high performance road tyres. Time will also be verified and published by Sport Auto.
"20,832 m",8:56.81,Chery Riich G5 2.0T,,Dirk Schoysman,2009-10-13,"Chery conducted test. This modified car differs from the production model with added roll-cage, stripped out interior, upgraded brakes, rims and tyres. Not clear whether the engine had been tuned. Chery claimed that they have been the first Chinese auto maker that 'Conquered the Nürburgring (中国首驱，征服纽博格林！)'."
"19,100 m",9:12,Jaguar S-Type Diesel,,Sabine Schmitz,2004-11-21,"Jeremy Clarkson was set a challenge to get a Jaguar S-Type 2.7 Diesel round the 'ring in under 10 minutes, and after getting shown around and getting advice from Sabine Schmitz, and quite a few attempts, he managed a 9:59. Sabine completed the lap in the same car as Clarkson on her first try in 9:12."
"20,832 m",9:52,"Mini E racer, Electric",,Thomas Jäger,2010-04,This was the first time under ten minutes recorded by an electric car.
"19,100 m",10:08.49,Ford Transit,,Sabine Schmitz,,"After telling Jeremy Clarkson that she could do his lap time in a van, Schmitz was set the same challenge as Clarkson, but in a Ford Transit. Vehicle had several parts removed and the draft vehicle in front of it."
